"Monthly average retail prices for selected products 1 2 3"
"Frequency: Monthly"
"Table: 18-10-0245-01"
"Release date: 2025-07-02"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,
"Products","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022"
"Shrimp, 300 grams 5","7.47","7.59","7.43","7.80","7.99","7.84","7.92","7.83","7.80","7.31","7.36","8.16"
"Canned salmon, 213 grams 5","4.65","4.68","4.63","4.88","4.50","4.59","4.76","4.69","4.84","4.62","4.75","4.90"
"Canned tuna, 170 grams 4","1.69","1.72","1.70","1.85","1.80","1.84","1.70","1.73","1.77","1.61","1.64","1.81"
"Meatless burgers, 226 grams 5","5.70","5.83","5.68","5.92","5.61","5.58","5.82","5.90","5.87","5.92","5.73","6.23"
"Milk, 1 litre 4","2.63","2.77","2.77","2.78","2.79","2.79","2.80","2.82","2.90","2.89","2.91","2.91"
"Milk, 2 litres 4","4.49","4.72","4.74","4.76","4.75","4.74","4.73","4.76","4.90","4.89","4.93","4.94"
"Milk, 4 litres 4","5.54","5.98","6.02","6.04","6.03","6.00","5.99","6.01","6.24","6.23","6.27","6.30"
"Soy milk, 1.89 litres 5","3.81","3.89","4.12","4.06","4.07","4.03","4.07","3.98","4.11","4.21","4.33","4.20"
"Nut milk, 1.89 litres 5","3.68","3.77","3.92","3.99","3.98","3.98","3.94","3.96","4.07","4.11","4.13","4.11"
"Cream, 1 litre 4","3.91","4.16","4.15","4.06","4.23","4.23","4.35","4.35","4.27","4.02","4.20","3.98"
"Butter, 454 grams 4","4.72","5.36","5.11","5.25","5.82","6.11","5.72","5.44","4.97","5.70","5.50","6.16"
"Margarine, 907 grams 5","5.15","5.33","5.78","6.24","6.25","6.40","6.56","7.02","7.08","6.95","7.11","7.08"
"Block cheese, 500 grams 5","6.30","6.44","6.61","6.65","6.76","6.74","6.75","6.66","6.79","6.37","6.61","6.37"
"Yogurt, 500 grams 5","2.80","2.94","2.98","2.98","3.03","3.00","3.02","3.04","2.99","3.00","3.05","3.26"
"Eggs, 1 dozen 4","3.91","4.07","4.19","4.04","4.24","4.19","4.29","4.39","4.68","4.52","4.59","4.36"
"Apples, per kilogram 4","5.01","4.85","5.41","5.42","5.58","5.69","5.71","6.01","4.77","4.27","5.07","5.87"
"Oranges, per kilogram 4","4.17","3.72","4.58","4.20","4.54","4.43","4.67","4.50","3.60","4.01","3.80","4.08"
"Oranges, 1.36 kilograms 4 5","5.18","5.19","5.65","5.65","5.81","5.79","5.75","5.88","5.21","5.32","5.31","5.72"
"Bananas, per kilogram 4","1.67","1.67","1.67","1.67","1.68","1.68","1.68","1.70","1.71","1.69","1.70","1.71"
"Pears, per kilogram 4","4.96","4.80","5.08","5.03","5.20","5.08","5.14","5.89","5.07","5.57","5.61","5.74"
"Lemons, unit 4","0.95","0.92","0.93","0.90","0.92","0.89","0.88","0.89","0.90","0.90","0.92","0.94"
"Limes, unit 4","0.76","0.86","0.98","0.99","0.92","0.75","0.67","0.70","0.68","0.73","0.78","0.81"
"Grapes, per kilogram 4","6.94","7.29","6.90","6.36","7.56","6.10","6.64","6.60","6.15","5.28","6.56","7.72"
"Cantaloupe, unit 4","3.37","3.55","2.95","3.28","4.09","4.24","4.15","2.79","3.61","4.43","4.65","3.75"
"Strawberries, 454 grams 5","4.66","3.84","3.36","4.11","3.79","3.69","4.13","4.71","4.67","5.45","6.74","6.13"
"Avocado, unit 4","1.88","2.00","2.07","2.35","2.46","2.42","2.19","2.18","1.74","1.81","1.76","1.87"
"Potatoes, 4.54 kilograms 4","4.63","3.95","4.42","4.36","5.26","4.90","5.24","5.60","4.61","3.69","4.99","4.37"
"Potatoes, per kilogram 4","4.14","4.21","4.13","4.18","4.64","4.87","5.14","4.84","4.73","4.68","4.68","4.67"
"Sweet potatoes, per kilogram 4","3.63","3.66","3.67","3.41","4.11","4.18","4.18","4.36","3.90","3.28","4.06","3.32"
"Tomatoes, per kilogram 4","5.75","5.44","4.57","4.21","4.11","4.04","4.35","4.21","4.19","4.57","6.32","6.99"
"Cabbage, per kilogram 4","2.20","2.33","2.35","2.42","2.71","2.94","2.73","2.46","2.22","2.17","2.44","2.42"
"Carrots, 1.36 kilograms 5","3.05","3.31","3.66","3.93","4.29","4.38","4.41","3.89","3.74","3.35","3.25","3.53"
"Onions, per kilogram 4","4.57","4.83","5.13","5.28","5.37","5.51","5.64","5.56","5.40","5.35","5.27","5.34"
"Onions, 1.36 kilograms 5","3.69","4.01","4.11","4.42","4.69","4.75","4.91","4.93","4.60","4.25","4.08","4.34"
"Celery, unit 4","2.83","2.96","3.33","3.08","3.35","3.64","2.78","2.41","2.31","2.43","3.17","3.64"
"Cucumber, unit 4","1.90","1.85","1.45","1.33","1.36","1.30","1.34","1.38","1.61","1.86","1.66","1.82"
"Mushrooms, 227 grams 5","2.20","2.39","2.15","2.32","2.46","2.30","2.37","2.49","2.11","2.35","2.23","2.49"
"Iceberg lettuce, unit 4","2.42","2.58","3.10","3.18","2.86","2.72","2.10","2.20","2.50","3.23","4.32","4.35"
"Romaine lettuce, unit 4","3.10","3.17","3.76","3.58","3.19","2.67","2.00","2.10","2.65","3.53","4.64","4.53"
"Broccoli, unit 4","2.64","2.77","2.73","2.56","2.74","2.71","2.49","2.35","2.13","2.36","2.88","3.22"
"Peppers, per kilogram 4","7.89","7.65","7.70","7.22","7.56","7.47","7.15","5.96","5.50","6.76","8.50","8.92"
"Squash, per kilogram 4","4.02","4.53","4.44","4.05","4.53","4.87","4.96","4.63","3.43","3.12","3.53","4.16"
"Salad greens, 142 grams 5","4.09","4.09","4.21","4.27","4.41","4.38","4.22","4.37","4.41","4.53","4.63","4.50"
"Frozen french fried potatoes, 750 grams 5","2.48","2.57","2.56","2.61","2.67","2.71","2.70","2.80","2.90","2.94","2.84","2.95"
"Frozen green beans, 750 grams 5","3.49","3.47","3.50","3.35","3.51","3.43","3.53","3.51","3.53","3.50","3.67","3.56"
"Frozen broccoli, 500 grams 4","3.43","3.50","3.83","3.27","3.66","3.49","3.71","3.78","3.74","3.75","3.84","3.47"
"Frozen corn, 750 grams  5","3.32","3.23","3.28","3.00","3.22","3.18","3.27","3.19","3.22","3.22","3.35","3.23"
"Frozen mixed vegetables, 750 grams  5","3.48","3.44","3.44","3.26","3.41","3.40","3.44","3.37","3.45","3.38","3.42","3.41"
"Frozen peas, 750 grams 5","3.25","3.17","3.19","2.98","3.12","3.12","3.19","3.16","3.22","3.21","3.36","3.28"
"Frozen pizza, 390 grams 5","4.14","4.13","4.29","4.20","4.19","4.14","4.19","4.28","4.12","4.42","4.36","4.27"
"Frozen spinach, 300 grams 5","1.81","1.76","1.79","1.80","1.71","1.70","1.88","1.93","2.13","1.97","2.03","2.14"
"Frozen strawberries, 600 grams 4","4.66","4.70","4.78","4.65","4.96","4.91","5.09","5.16","4.95","4.82","4.92","4.73"
"White bread, 675 grams 5","3.08","3.19","3.29","3.37","3.37","3.39","3.50","3.53","3.44","3.39","3.59","3.70"
"Flatbread and pita, 500 grams  5","2.99","3.01","3.01","3.14","3.16","3.20","3.37","3.47","3.52","3.50","3.65","3.77"
"Crackers and crisp breads, 200 grams  4","2.60","2.55","2.63","2.58","2.68","2.66","2.71","2.71","2.71","2.68","2.76","2.74"
"Cookies and sweet biscuits, 300 grams  5","2.70","2.78","2.74","2.77","2.91","2.81","2.90","2.98","3.00","3.05","2.86","3.01"
"Dry or fresh pasta, 500 grams 5","2.73","2.91","3.14","3.00","2.92","3.02","3.16","3.25","3.45","3.40","3.41","3.64"
"Brown rice, 900 grams  5","5.10","5.12","5.22","5.40","5.47","5.57","5.60","5.76","5.84","5.82","5.79","5.66"
"White rice, 2 kilograms 5","8.80","9.09","9.18","9.42","9.32","9.35","9.41","9.31","9.55","9.32","9.56","9.42"
"Cereal, 400 grams 5","3.49","3.69","3.95","4.01","3.98","3.84","3.88","3.89","3.98","4.03","4.07","4.14"
"Wheat flour, 2.5 kilograms 5","4.80","4.94","5.26","5.28","5.36","5.27","5.51","5.71","5.65","5.54","5.45","5.72"
"White sugar, 2 kilograms 5","2.39","2.67","2.51","2.42","2.66","2.42","2.49","2.78","2.52","2.65","2.29","2.83"
"Apple juice, 2 litres 5","3.02","3.03","3.04","3.18","3.26","3.27","3.23","3.26","3.38","3.25","3.33","3.37"
"Orange juice, 2 litres 5","4.01","4.14","4.27","4.06","4.16","4.10","4.05","4.15","4.14","3.81","3.95","4.06"
"Roasted or ground coffee, 340 grams 5","5.71","5.98","5.83","6.00","6.03","6.16","6.34","6.45","6.28","5.86","6.26","6.40"
"Tea (20 bags) 4","3.86","3.86","3.82","3.87","3.88","4.01","4.29","4.15","4.26","4.23","4.01","4.25"
"Ketchup, 1 litre 5","3.93","3.93","4.05","4.07","4.15","4.04","4.04","4.12","4.11","4.05","3.95","4.18"
"Vegetable oil, 3 litres 5","8.62","10.62","10.27","10.83","10.87","11.03","12.29","12.01","10.92","10.56","11.10","11.41"
"Canola oil, 3 litres 5","9.09","11.10","11.28","11.79","11.68","11.71","12.63","12.63","12.64","11.92","12.30","12.47"
"Olive oil, 1 litre 5","8.90","7.80","9.26","8.65","9.12","9.16","8.68","9.94","8.74","8.37","9.35","9.81"
"Baby food, 128 millilitres 5","1.36","1.36","1.39","1.40","1.40","1.41","1.39","1.41","1.45","1.44","1.43","1.49"
"Infant formula, 900 grams  5","29.62","29.15","28.83","29.95","32.02","31.98","31.91","31.63","31.34","33.29","34.42","34.99"
"Peanut butter, 1 kilogram 5","4.67","5.20","5.30","5.37","5.29","5.41","5.31","5.36","5.41","5.49","5.32","5.53"
"Mayonnaise, 890 millilitres  5","5.28","5.42","5.76","5.93","5.92","5.91","6.25","6.27","6.31","6.19","6.04","6.23"
"Canned baked beans, 398 millilitres 5","1.45","1.46","1.37","1.49","1.54","1.51","1.59","1.41","1.61","1.60","1.55","1.65"
"Canned tomatoes, 796 millilitres 5","1.44","1.50","1.53","1.51","1.52","1.66","1.70","1.77","1.74","1.56","1.69","1.88"
"Canned soup, 284 millilitres 5","1.18","1.17","1.20","1.23","1.25","1.40","1.43","1.21","1.37","1.53","1.24","1.65"
"Canned beans and lentils, 540 millilitres 4","1.35","1.36","1.42","1.48","1.53","1.52","1.52","1.53","1.50","1.43","1.51","1.59"
"Canned corn, 341 millilitres 5","1.31","1.38","1.37","1.25","1.38","1.41","1.49","1.69","1.58","1.35","1.41","1.33"
"Canned peach, 398 millilitres 5","2.24","2.24","2.18","2.18","2.16","2.26","2.26","2.33","2.44","2.34","2.51","2.30"
"Canned pear, 398 millilitres 5","2.33","2.32","2.27","2.27","2.27","2.35","2.39","2.45","2.50","2.48","2.56","2.46"
"Dried lentils, 900 grams 5","3.40","3.51","3.49","3.56","3.63","3.73","3.79","3.83","3.86","3.74","3.70","3.79"
"Dry beans and legumes, 900 grams  5","3.11","3.24","3.30","3.32","3.37","3.47","3.56","3.56","3.60","3.38","3.29","3.51"
"Tofu, 350 grams  5","2.46","2.66","2.59","2.64","2.60","2.67","2.75","2.78","2.86","2.87","2.80","2.78"
"Hummus, 227 grams 5","3.47","3.42","3.43","3.49","3.59","3.51","3.69","3.88","3.91","3.82","3.83","3.81"
"Salsa, 418 millilitres 5","3.69","3.78","3.78","3.71","3.81","3.98","4.03","4.08","4.19","4.19","4.11","4.23"
"Pasta sauce, 650 millilitres 5","2.45","2.57","2.51","2.70","2.55","2.83","2.85","2.85","3.01","2.94","2.74","3.00"
"Salad dressing, 475 millilitres 5","3.14","3.28","3.43","3.38","3.24","3.14","3.30","3.22","3.38","3.21","3.19","3.34"
"Almonds, 200 grams 5","5.19","5.17","5.30","5.32","5.43","5.45","5.26","5.32","5.39","5.28","4.93","4.98"
"Peanuts, 450 grams 5","3.28","3.13","3.27","3.26","3.33","3.17","3.20","3.33","3.52","3.34","3.45","3.56"
"Sunflower seeds, 400 grams  5","3.97","4.24","4.13","4.22","4.08","4.06","4.26","4.30","4.32","4.32","4.32","4.44"
"Deodorant, 85 grams 5","5.97","5.77","6.06","6.23","6.40","6.33","6.51","6.31","6.38","6.41","6.51","6.79"
"Toothpaste, 100 millilitres 5","3.22","3.56","3.48","3.55","3.56","3.58","3.59","3.73","3.79","3.69","3.61","3.80"
"Shampoo, 400 millilitres 5","5.90","5.65","5.68","5.75","5.86","5.95","5.93","6.07","6.08","6.11","6.12","6.27"
"Laundry detergent, 4.43 litres 5","14.05","14.09","15.24","14.47","14.97","14.95","14.62","14.62","14.94","14.82","14.95","15.51"




Footnotes:
1,"Average price estimates for these products are derived using transaction data from Canadian grocery retailers. The composition of a given product category may change over time due to evolving consumer purchasing patterns and product availability. Therefore, users should exercise caution when comparing average prices over time as average prices may not be fully comparable from one month to another and should not be used as a representative measure of pure price change through time. Note: Data are subject to revision."
2,"For concepts and definitions, see the <a href="https://www150.statcan.gc.ca/n1/pub/62f0014m/62f0014m2022007-eng.htm" rel="external noopener noreferrer" target="_blank">Methodological Supplement for the Monthly Average Retail Prices Table (opens new window)</a> publication, available in the Prices Analytical Series (62F0014M). Additional information, including product details, can be obtained by contacting the <a href="mailto:statcan.cpddisseminationunit-dpcunitedediffusion.statcan@statcan.gc.ca">Consumer Prices Division</a>."
3,"With the release of data for the January 2024 reference month, this table has been updated to incorporate data from additional grocery retailers, increasing the sample of price data used in the calculation of monthly average prices. This enhancement expands the coverage and improves the quality of the data, while ensuring the representativeness of prices paid by Canadian consumers. Users should continue to exercise caution when comparing average prices over time and when interpreting the 1-month change for January 2024 and the 12-month change for the next 12 months. "
4,"Specific size - In most cases, a specific size or quantity can be easily identified as the measure of best fit for a particular product. For some products, a specific size or quantity is the most commonly purchased by a considerable amount (for example, 1 dozen eggs). Other products have multiple high-sale sizes over a large range (for example, milk). In this case we calculate separate average prices for each size (1 litre, 2 litres and 4 litres) in order to provide a fuller picture. Other products such as fresh produce and meats are often sold by weight, and provided as a price per kilogram. In these cases, one kilogram is applied as the specific size. These products are then standardized to ensure that the price per one kilogram is included in the average price calculation. The specific size alone provides sufficient coverage to produce a robust measure."
5,"Standardized size - For certain products which are available to consumers in a wide variety of package sizes, prices for products within a set range of package sizes are standardized before the average price calculation. For example, prices for blocks of cheese ranging in size from 400 grams to 800 grams are adjusted to represent a 500 grams block of cheese, and are presented as such in the average prices table."



"How to cite: Statistics Canada. Table 18-10-0245-01  Monthly average retail prices for selected products"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810024501
